case_id,cycle_idx,variant,selector_type,bucket,result_source,route,actual_route,configured_L,search_l,recall@10,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,qps,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,cpu_cap_enforced,supports_recall_claim,selection_policy,source_prefix
cycle01_no_retrain_across_cycles_intersect_u50,1,no_retrain_across_cycles,intersect,u50,original_selected,prefilter,prefilter,300,300,98.86,7075.570621,6855.011,9538.518,9637.632,141.32792,500000.0,645.349,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_intersect_u75,1,no_retrain_across_cycles,intersect,u75,original_selected,graph,graph,400,400,98.36,8145.047472,8124.023,8445.229,8666.897,122.771848,750000.0,15.928,0,1000,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_intersect_u100,1,no_retrain_across_cycles,intersect,u100,original_selected,graph,graph,400,400,98.67,8164.669573,8141.936,8448.573,8727.709,122.476461,1000000.0,15.243,0,1000,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_range_u1e-03,1,no_retrain_across_cycles,range,u1e-03,original_selected,prefilter,prefilter,50,50,99.94,149.068999,147.943,159.097,196.747,6705.187792,1000.0,51.28,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_range_u3e-03,1,no_retrain_across_cycles,range,u3e-03,original_selected,prefilter,prefilter,100,100,99.73,215.876187,212.182,237.778,277.665,4629.782155,3000.0,68.778,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_range_u1e-02,1,no_retrain_across_cycles,range,u1e-02,original_selected,prefilter,prefilter,50,50,99.66,430.220496,425.336,464.112,503.501,2323.719664,10000.0,143.42,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_range_u5e-02,1,no_retrain_across_cycles,range,u5e-02,original_selected,prefilter,prefilter,100,100,99.26,1158.360774,1147.56,1222.84,1271.343,863.176733,50000.0,241.313,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_range_u1e-01,1,no_retrain_across_cycles,range,u1e-01,original_selected,prefilter,prefilter,75,75,98.15,1802.907722,1763.51,2008.366,2061.807,554.599682,100000.0,283.187,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_range_u25,1,no_retrain_across_cycles,range,u25,original_selected,prefilter,prefilter,75,75,98.14,3761.656332,3708.35,3952.356,4009.286,265.827715,250000.0,439.054,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_range_u30,1,no_retrain_across_cycles,range,u30,original_selected,prefilter,prefilter,250,250,98.7,4488.657555,4426.624,4654.482,4718.816,222.772743,300000.0,476.007,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_range_u50,1,no_retrain_across_cycles,range,u50,original_selected,prefilter,prefilter,300,300,98.86,6925.080661,6901.889,6972.184,7399.08,144.398185,500000.0,672.61,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_range_u75,1,no_retrain_across_cycles,range,u75,original_selected,graph,mixed,400,400,98.36,8225.371947,8201.229,8494.093,8760.637,121.572542,750000.0,57.3,0,0,1000,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_range_u100,1,no_retrain_across_cycles,range,u100,original_selected,graph,mixed,400,400,98.67,8229.943778,8210.646,8498.118,8788.321,121.505101,1000000.0,59.808,0,0,1000,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle02_retrain_each_cycle_intersect_u1e-03,2,retrain_each_cycle,intersect,u1e-03,original_selected,prefilter,prefilter,50,50,99.86,133.40929,132.26,139.45,148.885,7492.578601,1000.0,49.544,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
