format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,recall@10,chosen_L,status,bucket,filter_type,points,selected_route,exp6_latency_budget_ms,within_latency_budget,threshold_exceeded,target_recall@10,source_experiment
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,5,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,16232.660156,292.165009,251.0,476.0,600.0,693.0,996.0,0.0,96.0,3000.0,12.526,0,1000,0,0,10,31476,31476,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,6,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,18190.070312,313.782013,286.0,447.0,544.0,660.0,1084.0,0.0,96.0,3000.0,12.59,0,1000,0,0,10,32012,32012,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,7,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,20938.365234,319.178986,304.0,381.0,417.0,762.0,1286.0,0.0,96.0,3000.0,12.251,0,1000,0,0,10,32976,32976,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,8,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,15669.088867,494.446991,512.0,584.0,620.0,914.0,1332.0,0.0,96.0,3000.0,11.765,0,1000,0,0,10,33440,33440,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,9,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,14100.456055,621.922974,615.0,720.0,803.0,1034.0,1368.0,0.0,96.0,3000.0,13.773,0,1000,0,0,10,33804,33804,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,10,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,12823.761719,760.559998,747.0,955.0,1125.0,1237.0,1775.0,0.0,96.0,3000.0,15.304,0,1000,0,0,10,34712,34712,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,11,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,12900.913086,832.169006,817.0,1064.0,1165.0,1485.0,1829.0,0.0,96.0,3000.0,15.971,0,1000,0,0,10,35136,35136,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,12,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,13477.760742,872.377014,846.0,981.0,1167.0,1588.0,2303.0,0.0,96.0,3000.0,14.296,0,1000,0,0,10,36064,36064,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,13,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,12623.647461,1007.755005,938.0,1298.0,1404.0,1906.0,2431.0,0.0,96.0,3000.0,17.901,0,1000,0,0,10,36508,36508,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,14,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,14268.640625,959.671997,913.0,1098.0,1188.0,1714.0,2675.0,0.0,96.0,3000.0,16.053,0,1000,0,0,10,37332,37332,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
