dataset,bucket_name,selectivity,thread,route_decision,qps,query_p99_latency_us,query_p999_latency_us,cpu_pct,mean_ios,real_read_iops,real_read_mb_s,real_iops,real_mb_s,real_qd,real_read_await_ms,real_ssd_lat_status,real_ssd_lat_p50_ms,real_ssd_lat_p95_ms,real_ssd_lat_p99_ms,fio_matched_iodepth,fio_matched_achieved_qd,fio_iops,fio_mb_s,fio_bw_mb_s,iops_vs_fio_ratio,bw_vs_fio_ratio,fio_lat_mean_ms,fio_lat_p99_ms,fio_capacity_ratio,disk_metrics_status,bottleneck_conclusion
fashion_mnist784,u5,0.05,8,prefilter,5512.245605,1742.0,2031.0,782.753723,160.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u10,0.1,1,prefilter,2098.266357,754.0,1107.0,271.403942,160.0,35.449836,0.166171,35.449836,0.166171,0.005956,0.16,unavailable_no_events,,,,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.003186608329104468,0.003823927559734095,0.087434355233,0.11008,0.003823927559734095,ok,io_latency_or_queue_underfilled
fashion_mnist784,u10,0.1,4,prefilter,6119.032715,794.0,1229.0,636.604278,160.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u10,0.1,8,prefilter,5449.078613,1905.0,2144.0,780.190004,160.0,0.0,0.0,0.0,0.0,0.000496,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u25,0.25,1,prefilter,1331.482422,1044.0,1395.0,232.914761,192.0,42.789265,0.1861,42.789265,0.1861,0.007499,0.175258,unavailable_no_events,,,,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.0038463542749607726,0.0042825337686269865,0.087434355233,0.11008,0.0042825337686269865,ok,io_latency_or_queue_underfilled
fashion_mnist784,u25,0.25,4,prefilter,5631.727539,791.0,1156.0,573.872211,192.0,0.0,0.0,0.0,0.0,0.000994,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u25,0.25,8,prefilter,5744.780762,1981.0,2068.0,787.962063,192.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u50,0.5,1,prefilter,929.393982,1341.0,1861.0,200.013494,192.0,16.378276,0.068501,16.378276,0.068501,0.00364,0.20202,unavailable_no_events,,,,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.001472253657759427,0.0015763452213042304,0.087434355233,0.11008,0.0015763452213042304,ok,io_latency_or_queue_underfilled
fashion_mnist784,u50,0.5,4,prefilter,3574.342529,1443.0,1519.0,552.16217,192.0,0.0,0.0,0.0,0.0,0.000497,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u50,0.5,8,prefilter,5275.645508,2381.0,2522.0,780.588103,192.0,0.0,0.0,0.0,0.0,0.000496,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
