format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,bucket,selectivity,selectivity_percent,chosen_L,recall@10,latency_avg_ms,calibration_wall_s,status,raw_jsonl_path,log_path
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,20,True,0,1,0,0,1,1,1138.464355,850.447021,843.0,961.0,1005.0,1082.0,1401.0,0.0,38.554001,300000.0,14.502,0,0,1000,0,10,28880,28880,47.619999,u30,0.3,30.0,20,47.619999,0.8504470209999999,0.911247730255127,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L20.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L20.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,30,True,0,1,0,0,1,1,956.130615,1007.924011,999.0,1100.0,1148.0,1269.0,2205.0,0.0,46.860001,300000.0,15.335,0,0,1000,0,10,29620,29620,57.09,u30,0.3,30.0,30,57.09,1.0079240109999998,1.0801031589508057,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L30.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L30.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,40,True,0,1,0,0,1,1,774.550171,1233.256958,1223.0,1320.0,1362.0,1523.0,3209.0,0.0,55.877998,300000.0,21.729,0,0,1000,0,10,29564,29564,64.589996,u30,0.3,30.0,40,64.589996,1.233256958,1.327383041381836,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L40.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L40.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,50,True,0,1,0,0,1,1,718.264648,1343.868042,1340.0,1428.0,1461.0,1532.0,2341.0,0.0,65.061996,300000.0,15.45,0,0,1000,0,10,29564,29564,70.760002,u30,0.3,30.0,50,70.760002,1.343868042,1.4275619983673096,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L50.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L50.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,75,True,0,1,0,0,1,1,542.666565,1785.850952,1784.0,1866.0,1902.0,1968.0,2575.0,0.0,88.956001,300000.0,15.872,0,0,1000,0,10,29624,29624,79.720001,u30,0.3,30.0,75,79.720001,1.785850952,1.8587639331817627,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L75.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L75.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,100,True,167093,1,167093,167093,1,1,413.473114,2321.907959,2309.0,2425.0,2452.0,2546.0,4500.0,0.0,113.263,300000.0,23.519,0,0,1000,0,10,30140,30140,85.25,u30,0.3,30.0,100,85.25,2.3219079590000002,2.453737258911133,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L100.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L100.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,125,True,0,1,0,0,1,1,358.742371,2698.605957,2688.0,2785.0,2818.0,2884.0,3830.0,0.0,137.835999,300000.0,17.204,0,0,1000,0,10,29980,29980,89.0,u30,0.3,30.0,125,89.0,2.6986059570000003,2.821932077407837,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L125.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L125.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,150,True,0,1,0,0,1,1,307.119171,3159.545898,3152.0,3247.0,3274.0,3338.0,4087.0,0.0,162.559006,300000.0,17.149,0,0,1000,0,10,30148,30148,91.620003,u30,0.3,30.0,150,91.620003,3.1595458979999997,3.272024393081665,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L150.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L150.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,200,True,0,1,0,0,1,1,238.232056,4088.920898,4078.0,4183.0,4212.0,4294.0,5092.0,0.0,212.112,300000.0,17.381,0,0,1000,0,10,30144,30144,94.650002,u30,0.3,30.0,200,94.650002,4.088920898,4.2135326862335205,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L200.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L200.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,300,True,0,1,0,0,1,1,163.32251,5963.754883,5953.0,6059.0,6094.0,6225.0,7382.0,0.0,311.511993,300000.0,17.422,0,0,1000,0,10,31264,31264,97.110001,u30,0.3,30.0,300,97.110001,5.963754883,6.1570117473602295,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L300.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L300.json
