role,path,size_bytes,mtime_ns,sha256
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u1e-01.spmat,24032,1779178796359835198,7f949a8b908c53218e170346d6a0e434076866ef9c5490f0dae5d09e00d29601
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_range_u25.bin,120008,1779180181647736947,b8f3aaf6fdf76f4cdf1af7f2dd2e98358af677f420f3e4615491711bd41c3b4c
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u25.spmat,24032,1779178796359835198,e439f3f427ba3c6f98973fd2da601c27197c98f48c26335550f1dabc3de4fc34
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_range_u30.bin,120008,1779180231760167105,ad4fe4f7e5c3e557988722f64e10959d6685b2969e41170f0e41408b2e3e744d
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u30.spmat,24032,1779178796359835198,5ad8a634fea85a3797b3d630ccac8defb27ffb00f834257a1ec0daffb5b02122
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_range_u50.bin,120008,1779180302412728086,eddb1c7b9c17474d72e7f4cf900cbf2ce2fb6c0e18b645662fac1e6b9167e798
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u50.spmat,24032,1779178796363835197,9c64990d80448cb7d659abef0303f451ca515196419e1aa7a38107545e121921
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_range_u75.bin,120008,1779180380541293963,a3a0cf67ec1f3a6c8627f3f77dea7e0a228b43cfa37676ffa8c74325c8aab949
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u75.spmat,24032,1779178796363835197,ff8fbb1c71c4f7f38356446961c1396999b31419d62483fa95d234d1c7b6d7d5
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_range_u100.bin,120008,1779180477393927744,d15d435712b52f7031324018985dd4b944e45c51c2135d80cfcd43997e7042c5
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u100.spmat,24032,1779178796363835197,9e1634d2f47c0c7c553d1ebffeac9a042894f1ebc678a8e5b1eedb352aa88589
