actual_route,beamwidth,bucket,passes_p95_10ms,passes_primary,route,row_index,search_l,selector_type,serving_configuration,v1_avg_latency_ms,v1_p95_latency_ms,v1_recall@10,v3_avg_latency_ms,v3_bytes_per_4k,v3_mean_n_4k,v3_mean_read_size,v3_p95_latency_ms,v3_recall@10,variant
prefilter,4,u5e-02,True,True,prefilter,43,75,intersect,selected route/L/beamwidth,1.14711173,1.226212,99.3,1.176009461,4096.0,186.434,763633.664,1.268341,99.3,retrain_each_cycle
prefilter,4,u1e-01,True,True,prefilter,44,50,intersect,selected route/L/beamwidth,1.880475569,2.037834,98.34,1.869235554,4096.0,184.611,756166.656,2.001919,98.34,retrain_each_cycle
prefilter,4,u25,True,True,prefilter,45,200,intersect,selected route/L/beamwidth,4.274431754999999,4.604913,98.01,3.912190502,4096.0,230.233,943034.368,4.145279,98.01,retrain_each_cycle
prefilter,4,u30,True,True,prefilter,46,250,intersect,selected route/L/beamwidth,5.11913477,5.428496,98.52,4.733708629,4096.0,287.701,1178423.296,4.9527,98.52,retrain_each_cycle
prefilter,4,u50,True,True,prefilter,47,250,intersect,selected route/L/beamwidth,7.978573192,8.426015,98.15,7.53735845,4096.0,288.587,1182052.352,8.112464,98.15,retrain_each_cycle
graph,8,u75,True,True,graph,48,400,intersect,selected route/L/beamwidth,8.228145836,8.534649,98.44,5.620208885,4096.0,467.896,1916502.016,5.928149,98.43,retrain_each_cycle
graph,4,u100,True,True,graph,49,300,intersect,selected route/L/beamwidth,6.715022243,7.226179,98.23,6.919895532,4096.0,353.746,1448943.616,7.250984000000001,98.24,retrain_each_cycle
prefilter,4,u1e-03,True,True,prefilter,50,50,range,selected route/L/beamwidth,0.163698545,0.18418600000000002,99.92,0.16171274,4096.0,111.653,457330.688,0.181175,99.92,retrain_each_cycle
prefilter,4,u3e-03,True,True,prefilter,51,50,range,selected route/L/beamwidth,0.221398401,0.23864500000000002,99.73,0.21511222900000002,4096.0,111.555,456929.28,0.232769,99.73,retrain_each_cycle
prefilter,4,u1e-02,True,True,prefilter,52,75,range,selected route/L/beamwidth,0.405983862,0.454601,99.55,0.411730252,4096.0,148.876,609796.096,0.45257,99.55,retrain_each_cycle
prefilter,4,u5e-02,True,True,prefilter,53,50,range,selected route/L/beamwidth,1.15053387,1.217337,99.3,1.1860790179999998,4096.0,186.434,763633.664,1.309069,99.3,retrain_each_cycle
prefilter,4,u1e-01,True,True,prefilter,54,75,range,selected route/L/beamwidth,1.8058593969999999,1.9085239999999999,98.34,1.8816456659999998,4096.0,184.611,756166.656,2.0839540000000003,98.34,retrain_each_cycle
prefilter,4,u25,True,True,prefilter,55,200,range,selected route/L/beamwidth,4.179420505,4.3154639999999995,98.01,3.9605625100000004,4096.0,230.233,943034.368,4.1132610000000005,98.01,retrain_each_cycle
prefilter,4,u30,True,True,prefilter,56,300,range,selected route/L/beamwidth,4.920838237,5.091164,99.0,4.880653754,4096.0,345.178,1413849.088,5.121842,99.0,retrain_each_cycle
prefilter,4,u50,True,True,prefilter,57,250,range,selected route/L/beamwidth,7.780176361,8.008671,98.15,7.402378253,4096.0,288.587,1182052.352,7.705121,98.15,retrain_each_cycle
mixed,8,u75,True,True,graph,58,400,range,selected route/L/beamwidth,8.150807556,8.432778,98.43,5.659508054,4096.0,467.882,1916444.672,5.930930999999999,98.43,retrain_each_cycle
mixed,4,u100,True,True,graph,59,300,range,selected route/L/beamwidth,6.413701904,6.630518,98.23,6.983993058,4096.0,353.752,1448968.192,7.326912999999999,98.23,retrain_each_cycle
prefilter,4,u1e-03,True,True,prefilter,60,50,intersect,selected route/L/beamwidth,0.197618716,0.217355,99.97,0.20383389,4096.0,110.714,453484.544,0.22583799999999998,99.97,no_retrain_across_cycles
prefilter,4,u3e-03,True,True,prefilter,61,75,intersect,selected route/L/beamwidth,0.28149956600000003,0.310393,99.68,0.29679042600000005,4096.0,110.799,453832.704,0.331823,99.68,no_retrain_across_cycles
prefilter,4,u1e-02,True,True,prefilter,62,50,intersect,selected route/L/beamwidth,0.548024529,0.5977720000000001,99.53,0.5872167960000001,4096.0,148.039,606367.744,0.6428550000000001,99.53,no_retrain_across_cycles
prefilter,4,u5e-02,True,True,prefilter,63,50,intersect,selected route/L/beamwidth,1.418439981,1.4997660000000002,99.19,1.493935219,4096.0,184.267,754757.632,1.572921,99.19,no_retrain_across_cycles
prefilter,4,u1e-01,True,True,prefilter,64,50,intersect,selected route/L/beamwidth,2.206731937,2.3533519999999997,98.69,2.2583766059999997,4096.0,184.323,754987.008,2.3706460000000003,98.69,no_retrain_across_cycles
