bucket,case_id,cycle_idx,matched_reference_L,matched_reference_avg_latency_ms,matched_reference_route,matched_reference_status,matched_reference_target_recall,no_retrain_L,no_retrain_avg_latency_ms,no_retrain_recall,no_retrain_route,no_retrain_variant,reference_L,reference_avg_latency_ms,reference_recall,reference_route,reference_variant,selector_type,v3_L,v3_avg_latency_ms,v3_beamwidth,v3_p95_latency_ms,v3_recall@10,v3_route
u1e-02,cycle03_no_retrain_across_cycles_range_u1e-02,3,150,0.7043763780000001,prefilter,matched,99.57000000000001,75,0.651726602,99.56,prefilter,no_retrain_across_cycles,50,0.39278173099999997,99.67,prefilter,retrain_each_cycle,range,75,0.5858334559999999,4,0.640814,99.56,prefilter
u1e-03,cycle03_no_retrain_across_cycles_range_u1e-03,3,75,0.226114012,prefilter,matched,99.80000000000001,75,0.226114012,99.9,prefilter,no_retrain_across_cycles,50,0.165187289,99.9,prefilter,retrain_each_cycle,range,75,0.202918362,4,0.222411,99.9,prefilter
u25,cycle03_no_retrain_across_cycles_range_u25,3,400,5.973982511999999,prefilter,matched,98.09,400,5.973982511999999,98.61,prefilter,no_retrain_across_cycles,400,4.590825884,98.19,prefilter,retrain_each_cycle,range,400,4.797948394,4,5.075495,98.61,prefilter
u30,cycle03_no_retrain_across_cycles_range_u30,3,400,6.6554874449999994,prefilter,matched,98.27000000000001,400,6.6554874449999994,98.69,prefilter,no_retrain_across_cycles,400,5.2812184669999995,98.37,prefilter,retrain_each_cycle,range,400,5.333550099,4,5.495671000000001,98.69,prefilter
u3e-03,cycle03_no_retrain_across_cycles_range_u3e-03,3,75,0.330051736,prefilter,matched,99.62,75,0.330051736,99.64,prefilter,no_retrain_across_cycles,100,0.227474713,99.72,prefilter,retrain_each_cycle,range,75,0.301937916,4,0.328774,99.64,prefilter
u50,cycle03_no_retrain_across_cycles_range_u50,3,400,9.399845144999999,prefilter,matched,98.36,400,9.399845144999999,98.67,prefilter,no_retrain_across_cycles,400,7.843056777,98.46,prefilter,retrain_each_cycle,range,400,7.892863518,4,8.17911,98.67,prefilter
u5e-02,cycle03_no_retrain_across_cycles_range_u5e-02,3,200,1.7136867709999999,prefilter,matched,99.21000000000001,150,1.623062853,99.1,prefilter,no_retrain_across_cycles,75,1.150348629,99.31,prefilter,retrain_each_cycle,range,150,1.505238996,4,1.607011,99.1,prefilter
u75,cycle03_no_retrain_across_cycles_range_u75,3,470,10.160574535,graph,matched,98.01,470,10.160574535,98.02,graph,no_retrain_across_cycles,450,9.318929934,98.11,graph,retrain_each_cycle,range,500,7.7103506070000005,8,7.546124,98.21,graph
u100,cycle04_no_retrain_across_cycles_intersect_u100,4,450,9.322920969,graph,matched,98.31,400,8.369940053,98.22,graph,no_retrain_across_cycles,400,8.264666876,98.41,graph,retrain_each_cycle,intersect,400,5.811544881,8,6.272735,98.22,graph
u1e-01,cycle04_no_retrain_across_cycles_intersect_u1e-01,4,50,2.141416366,prefilter,matched,98.61,50,2.141416366,98.62,prefilter,no_retrain_across_cycles,75,1.869095907,98.71,prefilter,retrain_each_cycle,intersect,50,2.188824511,4,2.262525,98.62,prefilter
u1e-02,cycle04_no_retrain_across_cycles_intersect_u1e-02,4,150,0.598024724,prefilter,matched,99.7,100,0.566501048,99.63,prefilter,no_retrain_across_cycles,100,0.386120623,99.8,prefilter,retrain_each_cycle,intersect,100,0.570723631,4,0.616202,99.63,prefilter
u1e-03,cycle04_no_retrain_across_cycles_intersect_u1e-03,4,100,0.19878725800000002,prefilter,matched,99.88000000000001,100,0.19878725800000002,99.99,prefilter,no_retrain_across_cycles,50,0.162567682,99.98,prefilter,retrain_each_cycle,intersect,100,0.20713296,4,0.22418700000000003,99.99,prefilter
u25,cycle04_no_retrain_across_cycles_intersect_u25,4,300,4.7449588270000005,prefilter,matched,98.35000000000001,300,4.7449588270000005,98.76,prefilter,no_retrain_across_cycles,300,4.273900363,98.45,prefilter,retrain_each_cycle,intersect,300,4.412211989,4,4.587262,98.76,prefilter
u30,cycle04_no_retrain_across_cycles_intersect_u30,4,300,5.471505537,prefilter,matched,98.36,250,5.392606481,98.07,prefilter,no_retrain_across_cycles,300,5.037064319,98.46,prefilter,retrain_each_cycle,intersect,250,4.938635815,4,5.1882839999999995,98.07,prefilter
u3e-03,cycle04_no_retrain_across_cycles_intersect_u3e-03,4,100,0.285819786,prefilter,matched,99.77000000000001,75,0.285119642,99.76,prefilter,no_retrain_across_cycles,100,0.215890218,99.87,prefilter,retrain_each_cycle,intersect,75,0.288652493,4,0.313733,99.76,prefilter
u50,cycle04_no_retrain_across_cycles_intersect_u50,4,300,8.072212634,prefilter,matched,98.29,300,8.072212634,98.31,prefilter,no_retrain_across_cycles,300,7.722789151,98.39,prefilter,retrain_each_cycle,intersect,300,7.540257998,4,7.785244,98.31,prefilter
u5e-02,cycle04_no_retrain_across_cycles_intersect_u5e-02,4,50,1.440290898,prefilter,matched,99.03,50,1.440290898,99.09,prefilter,no_retrain_across_cycles,100,1.175285809,99.13,prefilter,retrain_each_cycle,intersect,50,1.4481723819999999,4,1.500146,99.09,prefilter
u75,cycle04_no_retrain_across_cycles_intersect_u75,4,470,9.758985291,graph,matched,98.05000000000001,470,9.758985291,98.08,graph,no_retrain_across_cycles,450,9.384198713,98.15,graph,retrain_each_cycle,intersect,470,6.6625290800000005,8,7.096012,98.08,graph
u100,cycle04_no_retrain_across_cycles_range_u100,4,450,9.354443111,graph,matched,98.31,400,8.422630942,98.21,graph,no_retrain_across_cycles,400,8.288680507999999,98.41,graph,retrain_each_cycle,range,400,6.008050905,8,6.271667000000001,98.22,graph
u1e-01,cycle04_no_retrain_across_cycles_range_u1e-01,4,100,2.1877553269999996,prefilter,matched,98.61,100,2.1877553269999996,98.62,prefilter,no_retrain_across_cycles,50,1.83427542,98.71,prefilter,retrain_each_cycle,range,100,2.229985955,4,2.314586,98.62,prefilter
u1e-02,cycle04_no_retrain_across_cycles_range_u1e-02,4,150,0.589427919,prefilter,matched,99.7,50,0.5607280560000001,99.63,prefilter,no_retrain_across_cycles,50,0.395465881,99.8,prefilter,retrain_each_cycle,range,50,0.582832341,4,0.620115,99.63,prefilter
u1e-03,cycle04_no_retrain_across_cycles_range_u1e-03,4,50,0.190939033,prefilter,matched,99.88000000000001,50,0.190939033,99.99,prefilter,no_retrain_across_cycles,50,0.163765091,99.98,prefilter,retrain_each_cycle,range,50,0.201360926,4,0.21968600000000002,99.99,prefilter
